full_path,relative_path_to_file,filename_with_extension,file_stem,extension,filesize,sha1
textures/flatlist/ovr_stm/_win/0000021b.ctxr,textures/flatlist/ovr_stm/_win,0000021b.ctxr,0000021b,ctxr,44739712,f0fbfacbcc3268509d6a2e2155db05b5d305174c
textures/flatlist/ovr_stm/_win/0000368b.ctxr,textures/flatlist/ovr_stm/_win,0000368b.ctxr,0000368b,ctxr,131232,f88225e582267b7249649b77d25d0fdf99fa825e
textures/flatlist/ovr_stm/_win/00005011.img.ctxr,textures/flatlist/ovr_stm/_win,00005011.img.ctxr,00005011.img,ctxr,1573024,6df7f3d2e7f3408d50065b862b239438238b02e8
textures/flatlist/ovr_stm/_win/00005e41.ctxr,textures/flatlist/ovr_stm/_win,00005e41.ctxr,00005e41,ctxr,131232,e9fb7048a31553a1c93a9e2b2245e315a7974f10
textures/flatlist/ovr_stm/_win/0000719c.ctxr,textures/flatlist/ovr_stm/_win,0000719c.ctxr,0000719c,ctxr,6029472,cde91cbc2e10c7656c6fd48d27feb988e7ed74ff
textures/flatlist/ovr_stm/_win/00007c5c.ctxr,textures/flatlist/ovr_stm/_win,00007c5c.ctxr,00007c5c,ctxr,8388768,06e4f656ded86551c75ce61997c8c94f13861380
textures/flatlist/ovr_stm/_win/0000bdd3.ctxr,textures/flatlist/ovr_stm/_win,0000bdd3.ctxr,0000bdd3,ctxr,8388768,b0a77a8d116245314de9faa6033cecbfe31efe54
textures/flatlist/ovr_stm/_win/0000c6fa.ctxr,textures/flatlist/ovr_stm/_win,0000c6fa.ctxr,0000c6fa,ctxr,1817760,57cd5651c5b152273a11f480929723ac9091c779
textures/flatlist/ovr_stm/_win/00011816.ctxr,textures/flatlist/ovr_stm/_win,00011816.ctxr,00011816,ctxr,1817760,151f833ea4a842c2d88ff256f42c12c26c923f37
textures/flatlist/ovr_stm/_win/0001435e.ctxr,textures/flatlist/ovr_stm/_win,0001435e.ctxr,0001435e,ctxr,1704096,6f58737b8222221f092990d2a826e40cf759cf39
textures/flatlist/ovr_stm/_win/00014362.ctxr,textures/flatlist/ovr_stm/_win,00014362.ctxr,00014362,ctxr,1794208,6a02aecec09197ff5f3b23a9c1db9e5b1c298c2a
textures/flatlist/ovr_stm/_win/00014366.ctxr,textures/flatlist/ovr_stm/_win,00014366.ctxr,00014366,ctxr,2924704,f5bf8902256360d5109e226efe75f1dd42535ead
textures/flatlist/ovr_stm/_win/0001436a.ctxr,textures/flatlist/ovr_stm/_win,0001436a.ctxr,0001436a,ctxr,2310304,6a4f2207a2c1bae0646531ab9456ad68ed0c7742
textures/flatlist/ovr_stm/_win/00014fef.ctxr,textures/flatlist/ovr_stm/_win,00014fef.ctxr,00014fef,ctxr,524448,9b5d919c5dd1e109a70f15d522e8a2c9b2ca188a
textures/flatlist/ovr_stm/_win/0001a782.ctxr,textures/flatlist/ovr_stm/_win,0001a782.ctxr,0001a782,ctxr,349856,2026857c07b0a8cef3b13c7db281eb30d4098c68
textures/flatlist/ovr_stm/_win/000237d1.ctxr,textures/flatlist/ovr_stm/_win,000237d1.ctxr,000237d1,ctxr,65696,28c04d66749fe9458dc75cb32c36b158eca41b06
textures/flatlist/ovr_stm/_win/0002a890.ctxr,textures/flatlist/ovr_stm/_win,0002a890.ctxr,0002a890,ctxr,2892960,7caebaa987cca2dd8fd30f7bbe3590ea826374d1
textures/flatlist/ovr_stm/_win/0002b182.ctxr,textures/flatlist/ovr_stm/_win,0002b182.ctxr,0002b182,ctxr,1048736,c4a09a8702fc673504b413fa275b896ade289097
textures/flatlist/ovr_stm/_win/0002bdfa.ctxr,textures/flatlist/ovr_stm/_win,0002bdfa.ctxr,0002bdfa,ctxr,1817760,8c5d7f15c7242202821adeb1c3a7418a90c6e903
textures/flatlist/ovr_stm/_win/0002c24e.ctxr,textures/flatlist/ovr_stm/_win,0002c24e.ctxr,0002c24e,ctxr,1817760,c942465a73be63c4cd75584333efb5b2ebb320a1
