Start Time,End Time,Lang ID,Text
250,598,[JPN],おい？
682,1657,[JPN],…グロズ二ィグラードへ行く気か？
1783,2953,[JPN],あの要塞は文字通り鉄壁だ
2981,3357,[JPN],だろうな
3524,3914,[JPN],死ぬぞ
3928,4415,[JPN],そのつもりはない
4611,4931,[JPN],待て！
5015,5419,[JPN],なんだ？
5461,6143,[JPN],人の話を聞け
6171,7048,[JPN],手を貸してやろうというんだよ
7063,7425,[JPN],なんだって？
7620,8372,[JPN],誉めてくれた礼だ
8428,9013,[JPN],俺が何を褒めた？
9209,9571,[JPN],靴だ
9808,11312,[JPN],夕チアナに貰ったこの靴を|誉めてくれた礼だよ
11396,12552,[JPN],要塞への侵入ルートを教えてやる
12608,14447,[JPN],…そのかわり 必ず奴を連れ出し|シャゴホッドを破壊してくれ
14475,16063,[JPN],グロズ二ィグラードの下には|地下壕が張り巡らされている
16188,17734,[JPN],それをうまく使えば内部へ潜り込めるはずだ
17902,19643,[JPN],山岳地帯に行くといい|地下壕への入り口がある
19685,20632,[JPN],こいつをやろう
