Start Time,End Time,Lang ID,Text
111,1295,[JPN],1951年11月1日
1365,2200,[JPN],私はネヴァダの砂漠にいた
2256,3147,[JPN],原爆実験へ参加するために
3580,4513,[JPN],ネヴァ夕の語源はスペイン語の形容詞で…
4513,5934,[JPN],『雪をいただく 雪のように白い』|という意味だ
6311,7578,[JPN],私はそのネヴァダで文字通りの雪を見た
7801,8790,[JPN],そして私の血は白く凍った
9250,9626,[JPN],スネーク…
9794,10908,[JPN],お前も被曝したな|ビキ二環礁で
11605,12538,[JPN],それがお前に惹かれた理由でもある
12650,13388,[JPN],お前と私は同じだ
13681,15115,[JPN],お互い 人の作り出したカルマに|蝕まれつつある
15408,16425,[JPN],自然に老いて死ぬことは許されない
16676,17428,[JPN],私達に明日はない
17623,18737,[JPN],だが未来を夢見ることは出来る
19644,21552,[JPN],1960年 私はあるべき未来を見た|宇宙から…
22040,24241,[JPN],ソ連が人類初の人工衛星スプート二クの|打ち上げに成功したのはその3年前だ
24478,25286,[JPN],その衝撃は全米を揺るがし
25286,26567,[JPN],アメリカは国の総力を上げた|有人宇宙飛行計画
26568,27403,[JPN],『マーキュリー計画』をス夕ートさせた
27947,29312,[JPN],ソ連の有人宇宙飛行の成功は|目前と言われている中
29326,30872,[JPN],アメリカはまだチンパンジーをロケットに|乗せた実験を繰り返していた
31165,32112,[JPN],政府は人間のデー夕を欲しがった
32391,33853,[JPN],そして非公式に人間を宇宙に|放り出すことにした
34133,34899,[JPN],…選ばれたのは私だった
35247,36264,[JPN],当時の宇宙線遮断技術は不充分で
36264,37099,[JPN],乗員の被曝は避けられなかった
37156,38786,[JPN],だから私が選ばれたんだ|既に被曝していた私がな
38925,39816,[JPN],教科書には載らない裏の歴史だ
40124,41572,[JPN],そのとき 私は宇宙からこの星を観た
42130,42896,[JPN],そして全てを悟った
43328,44442,[JPN],米ソは宇宙開発に凌ぎを削っている
44456,46030,[JPN],政治で 経済で 軍備で|無為な争いを続けている
46351,47075,[JPN],見ればお前にもわかるはず
47368,48287,[JPN],地球には国境などどこにもない
48302,49528,[JPN],まして冷戦や東西の線引きなど何処にもない
49904,51534,[JPN],皮肉なことに 米ソのミサイル競争も|宇宙開発競争も
51562,52871,[JPN],この答えに辿り着くために行われている|ようなものだ
53401,54571,[JPN],21世紀には誰もが直視する事になる
54822,56577,[JPN],我々は地球という小さな星の|住人であるという事実を
56981,58680,[JPN],共産主義も資本主義もない…|それが世界のあるべき姿だ
59336,60729,[JPN],だが現実の世界は私を裏切りつづけた
61300,63139,[JPN],1961年 私はキューバ…|コスチノス湾に送られた
63432,65480,[JPN],亡命キューバ人による祖国奪回の形をとった|CIAのキューバ侵攻作戦…
65856,66747,[JPN],だがアメリカ政府は裏切った
66762,67792,[JPN],腰抜けの大統領は航空支援を取り消し
67792,69143,[JPN],部隊は孤立無援のままキューバ軍に|壊滅させられた
69172,70202,[JPN],私はそれを黙って見ているしかなかった
70732,71484,[JPN],私はハメられたのだ
71540,73100,[JPN],あれだけ尽くした国に|命まで捧げた政府に
73532,74869,[JPN],私は表の世界から追われ|地下に潜った
