Start Time,End Time,Lang ID,Text
0,1226,[SPA],"Al final de la Segunda Guerra Mundial,|el mundo estaba dividido en dos,"
0,1226,[ITA],"Terminata la Seconda Guerra Mondiale,|il mondo venne diviso in due:"
0,1226,[GER],Nach Ende des Zweiten Weltkriegs wurde|die Welt zweigeteilt -
0,1226,[FRE],"Après la Deuxième Guerre mondiale,|le monde fut séparé en deux blocs:"
0,1226,[ENG],
1239,1726,[SPA],el Este y Occidente.
1239,1726,[ITA],Est e Ovest.
1239,1726,[GER],in Ost und West.
1239,1726,[FRE],l'Est et l'Ouest.
1239,1726,[ENG],
1741,2785,[SPA],Este momento marcó el inicio|de la que se llamaría la Guerra Fría.
1741,2785,[ITA],Tale evento segnò l'inizio del periodo|denominato Guerra Fredda.
1741,2785,[GER],"Dieses Ereignis markierte die Geburt einer|Zeit, die man später „Kalter Krieg"" nannte."
1741,2785,[FRE],"Cette séparation marqua le début de ce|qu'on qualifia plus tard de ""Guerre froide""."
1741,2785,[ENG],
