0x48,"PERSONAL DATA [1/1]

CODENAME:THE BOSS
SEX:FEMALE
AGE:UNKNOWN
NATIONALITY:U.S.A
BIRTHDATE:UNKNOWN
BIRTHPLACE:UNKNOWN
ADDRESS:UNKNOWN
","PERSONAL DATA [1/1]

CODENAME:THE BOSS
SEX:FEMALE
AGE:UNKNOWN
NATIONALITY:U.S.A
BIRTHDATE:UNKNOWN
BIRTHPLACE:UNKNOWN
ADDRESS:UNKNOWN
"
0xce,"PERSONAL DATA [1/2]

CODENAME:THE BOSS
SEX:FEMALE
AGE:UNKNOWN
NATIONALITY:U.S.A
BIRTHDATE:UNKNOWN
BIRTHPLACE:UNKNOWN
ADDRESS:UNKNOWN
","PERSONAL DATA [1/2]

CODENAME:THE BOSS
SEX:FEMALE
AGE:UNKNOWN
NATIONALITY:U.S.A
BIRTHDATE:UNKNOWN
BIRTHPLACE:UNKNOWN
ADDRESS:UNKNOWN
"
0x154,"PERSONAL DATA [2/2]

HEIGHT:5% 10~
WEIGHT:UNKNOWN
HAIR:BROWNISH GREY
EYE:BLUE
VOICE:LORI ALAN
MTN ACTR:ERIKO HIRATA
BLOOD TYPE:UNKNOWN
","PERSONAL DATA [2/2]

HEIGHT:5% 10~
WEIGHT:UNKNOWN
HAIR:BROWNISH GREY
EYE:BLUE
VOICE:LORI ALAN
MTN ACTR:ERIKO HIRATA
BLOOD TYPE:UNKNOWN
"
0x1dc,"There is one weapon greater than any
other in battle - do you know what that is?
","There is one weapon greater than any
other in battle - do you know what that is?
"
0x22e,"Yeah.
","Yeah.
"
0x235,"What?
","What?
"
0x23c,"Do we have to go through this again?
","Do we have to go through this again?
"
0x262,"Yes.
","Yes.
"
0x268,"...Will. An unflinching will to survive
no matter what.
","...Will. An unflinching will to survive
no matter what.
"
0x2a1,"Exactly.
","Exactly.
"
0x2ab,"En la batalla, hay un arma que es mucho
mejor que las otras. ¿Sabes cuál es?
","En la batalla, hay un arma que es mucho
mejor que las otras. ¿Sabes cuál es?
"
0x2fb,"Sí.
","Sí.
"
0x301,"¿Cuál?
","¿Cuál?
"
0x30b,"¿Otra vez tenemos que repasar esto?
","¿Otra vez tenemos que repasar esto?
"
0x331,"Sí.
","Sí.
"
0x337,"... La voluntad, la voluntad de sobrevivir por
encima de todas las cosas.
","... La voluntad, la voluntad de sobrevivir por
encima de todas las cosas.
"
0x382,"Exacto.
","Exacto.
"
