0xa8,"PERSONAL DATA [1/1]

CODENAME:THE BOSS
SEX:FEMALE
AGE:UNKNOWN
NATIONALITY:U.S.A
BIRTHDATE:UNKNOWN
BIRTHPLACE:UNKNOWN
ADDRESS:UNKNOWN
","PERSONAL DATA [1/1]

CODENAME:THE BOSS
SEX:FEMALE
AGE:UNKNOWN
NATIONALITY:U.S.A
BIRTHDATE:UNKNOWN
BIRTHPLACE:UNKNOWN
ADDRESS:UNKNOWN
"
0x12e,"PERSONAL DATA [1/2]

CODENAME:THE BOSS
SEX:FEMALE
AGE:UNKNOWN
NATIONALITY:U.S.A
BIRTHDATE:UNKNOWN
BIRTHPLACE:UNKNOWN
ADDRESS:UNKNOWN
","PERSONAL DATA [1/2]

CODENAME:THE BOSS
SEX:FEMALE
AGE:UNKNOWN
NATIONALITY:U.S.A
BIRTHDATE:UNKNOWN
BIRTHPLACE:UNKNOWN
ADDRESS:UNKNOWN
"
0x1b4,"PERSONAL DATA [2/2]

HEIGHT:5% 10~
WEIGHT:UNKNOWN
HAIR:BROWNISH GREY
EYE:BLUE
VOICE:LORI ALAN
MTN ACTR:ERIKO HIRATA
BLOOD TYPE:UNKNOWN
","PERSONAL DATA [2/2]

HEIGHT:5% 10~
WEIGHT:UNKNOWN
HAIR:BROWNISH GREY
EYE:BLUE
VOICE:LORI ALAN
MTN ACTR:ERIKO HIRATA
BLOOD TYPE:UNKNOWN
"
0x23c,"Are you smoking a cigar?
","Are you smoking a cigar?
"
0x256,"Uh huh.
","Uh huh.
"
0x25f,"I don't approve of you smoking during
a mission.
","I don't approve of you smoking during
a mission.
"
0x291,"Hey, you used to smoke them.
","Hey, you used to smoke them.
"
0x2af,"Never mind what I did.
","Never mind what I did.
"
0x2c7,"...
","...
"
0x2cc,"But that being said, cigars can be useful
in a number of different ways. Like getting
rid of leeches.
","But that being said, cigars can be useful
in a number of different ways. Like getting
rid of leeches.
"
0x333,"Did you say leeches?
","Did you say leeches?
"
0x349,"Yes. If a leech clamps onto you, try
pressing the lit end of a cigar into it.
","Yes. If a leech clamps onto you, try
pressing the lit end of a cigar into it.
"
0x398,"The leech should cringe and detach
itself from you.
","The leech should cringe and detach
itself from you.
"
0x3cd,"If you try to yank it off by yourself, you run
the risk of it leaving its teeth inside you.
","If you try to yank it off by yourself, you run
the risk of it leaving its teeth inside you.
"
0x42a,"With the cigar method, you won't have
that problem.
","With the cigar method, you won't have
that problem.
"
0x45f,"Fascinating.
","Fascinating.
"
0x46d,"And unlike a cigarette, a cigar burns
slowly, so you can use it in place of
a torch in dark places.
","And unlike a cigarette, a cigar burns
slowly, so you can use it in place of
a torch in dark places.
"
0x4d2,"I never knew a cigar had so many
different uses...
","I never knew a cigar had so many
different uses...
"
0x506,"Now you know. But quit smoking them
during the mission.
","Now you know. But quit smoking them
during the mission.
"
0x53f,"...
","...
"
0x544,"Hear me?
","Hear me?
"
0x54e,"Yes, ma'am...
","Yes, ma'am...
"
0x55d,"Est-ce que tu fumes un cigare?
","Est-ce que tu fumes un cigare?
"
0x57d,"Ben, oui.
","Ben, oui.
"
0x588,"Je ne suis pas d'accord pour que tu fumes
pendant une mission.
","Je ne suis pas d'accord pour que tu fumes
pendant une mission.
"
0x5c8,"Hé, mais vous aviez l'habitude d'en fumer.
","Hé, mais vous aviez l'habitude d'en fumer.
"
0x5f5,"Peu importe ce que je faisais.
","Peu importe ce que je faisais.
"
0x615,"...
","...
"
0x61a,"Ceci dit, les cigares peuvent parfois être
utiles. Comme pour se débarrasser des
sangsues.
","Ceci dit, les cigares peuvent parfois être
utiles. Comme pour se débarrasser des
sangsues.
"
0x678,"Des sangsues???
","Des sangsues???
"
0x689,"Oui. Si une sangsue s'accroche à toi, essaie
d'appuyer contre elle un cigare allumé.
","Oui. Si une sangsue s'accroche à toi, essaie
d'appuyer contre elle un cigare allumé.
"
0x6e1,"La sangsue devrait alors lâcher prise.
","La sangsue devrait alors lâcher prise.
"
0x70a,"Si tu essaies de l'enlever tout seul, la sangsue
risqueras d'y laisser ses mâchoires.
","Si tu essaies de l'enlever tout seul, la sangsue
risqueras d'y laisser ses mâchoires.
"
0x762,"Avec un cigare, tu n'auras pas ce genre de
problème.
","Avec un cigare, tu n'auras pas ce genre de
problème.
"
0x799,"Vraiment fascinant.
","Vraiment fascinant.
"
0x7ae,"Et contrairement à une cigarette, un cigare
brûle lentement alors ça pourra te servir de
torche dans les endroits sombres.
","Et contrairement à une cigarette, un cigare
brûle lentement alors ça pourra te servir de
torche dans les endroits sombres.
"
0x82d,"Je ne connaissais pas tous ces usages pour
un cigare...
","Je ne connaissais pas tous ces usages pour
un cigare...
"
0x866,"Maintenant, c'est fait. Mais arrête de fumer
pendant cette mission.
","Maintenant, c'est fait. Mais arrête de fumer
pendant cette mission.
"
0x8ac,"...
","...
"
0x8b1,"Tu m'as compris?
","Tu m'as compris?
"
0x8c3,"Oui, Madame.
","Oui, Madame.
"
