0x44,"PERSONAL DATA [1/1]

CODENAME:THE BOSS
SEX:FEMALE
AGE:UNKNOWN
NATIONALITY:U.S.A
BIRTHDATE:UNKNOWN
BIRTHPLACE:UNKNOWN
ADDRESS:UNKNOWN
","PERSONAL DATA [1/1]

CODENAME:THE BOSS
SEX:FEMALE
AGE:UNKNOWN
NATIONALITY:U.S.A
BIRTHDATE:UNKNOWN
BIRTHPLACE:UNKNOWN
ADDRESS:UNKNOWN
"
0xca,"PERSONAL DATA [1/2]

CODENAME:THE BOSS
SEX:FEMALE
AGE:UNKNOWN
NATIONALITY:U.S.A
BIRTHDATE:UNKNOWN
BIRTHPLACE:UNKNOWN
ADDRESS:UNKNOWN
","PERSONAL DATA [1/2]

CODENAME:THE BOSS
SEX:FEMALE
AGE:UNKNOWN
NATIONALITY:U.S.A
BIRTHDATE:UNKNOWN
BIRTHPLACE:UNKNOWN
ADDRESS:UNKNOWN
"
0x150,"PERSONAL DATA [2/2]

HEIGHT:5% 10~
WEIGHT:UNKNOWN
HAIR:BROWNISH GREY
EYE:BLUE
VOICE:LORI ALAN
MTN ACTR:ERIKO HIRATA
BLOOD TYPE:UNKNOWN
","PERSONAL DATA [2/2]

HEIGHT:5% 10~
WEIGHT:UNKNOWN
HAIR:BROWNISH GREY
EYE:BLUE
VOICE:LORI ALAN
MTN ACTR:ERIKO HIRATA
BLOOD TYPE:UNKNOWN
"
0x1d8,"Di per sé, le tecniche - i colpi e i lanci - sono
solo un aspetto del CQC.
","Di per sé, le tecniche - i colpi e i lanci - sono
solo un aspetto del CQC.
"
0x225,"Per fare funzionare quelle tecniche, devi anche
avere un corpo forte.
","Per fare funzionare quelle tecniche, devi anche
avere un corpo forte.
"
0x26c,"Ma la cosa essenziale nel CQC è l'ingegno:
","Ma la cosa essenziale nel CQC è l'ingegno:
"
0x299,"la capacità di capire immediatamente e
analizzare il comportamento e le condizioni
psicologiche del nemico
","la capacità di capire immediatamente e
analizzare il comportamento e le condizioni
psicologiche del nemico
"
0x306,"per decidere come agire. In breve...
","per decidere come agire. In breve...
"
0x32c,"Mente, corpo e tecnica.
","Mente, corpo e tecnica.
"
0x345,"Proprio così. Il combattimento ravvicinato è
efficace quando riunisce questi tre elementi.
","Proprio così. Il combattimento ravvicinato è
efficace quando riunisce questi tre elementi.
"
0x3a3,"Fa pensare a un'arte marziale orientale.
","Fa pensare a un'arte marziale orientale.
"
0x3cd,"Già, non trovi? Comunque, non è qualcosa che
si insegna o si apprende con facilità.
","Già, non trovi? Comunque, non è qualcosa che
si insegna o si apprende con facilità.
"
0x425,"Ci vuole un allenamento rigoroso e anni di
esperienza per apprenderlo.
","Ci vuole un allenamento rigoroso e anni di
esperienza per apprenderlo.
"
0x46d,"Tu hai contribuito a crearlo e tu sei l'unico in
grado di usarlo.
","Tu hai contribuito a crearlo e tu sei l'unico in
grado di usarlo.
"
0x4b0,"A parte Lei, giusto?
","A parte Lei, giusto?
"
0x4c6,"...Già.
","...Già.
"
