Start Time,End Time,Lang ID,Text
4026,4402,[JPN],これだ
8275,8832,[JPN],約束は守るわ
9111,9710,[JPN],『賢者の遺産』については？
9891,10768,[JPN],その事は何もしらん…
11549,11966,[JPN],それは！
12106,12746,[JPN],私を殺すのかっ
12914,13318,[JPN],どうしたの？
14349,15017,[JPN],知らん 知らんのだ
15171,16020,[JPN],『遺産』のことは大佐しか知らんはずだ！
16049,16550,[JPN],そう…
16565,16996,[JPN],やめろ！
27891,28197,[JPN],誰だ！
28769,29702,[JPN],あんた CIAの…？
29967,30468,[JPN],なぜここに？
30538,31109,[JPN],必ず助ける
31124,31709,[JPN],#{バーチャスミッションの時、あのとき}#|そう言っただろう？
32057,33032,[JPN],上官に似て律儀な男だな…
33325,34021,[JPN],だが遅すぎたようだ
34021,34425,[JPN],遅すぎた？
34509,35317,[JPN],まさか…シャゴホッドが？
35846,36333,[JPN],その通りだ
36362,37643,[JPN],フェイズ2の最終調整は完了してしまった…
37658,38535,[JPN],…ソコロフ フェイズ2とは一体？
38856,40360,[JPN],中距離弾道弾射程合成延伸システム
40709,41266,[JPN],そう呼ばれている
