Start Time,End Time,Lang ID,Text
0,891,[SPA],"El blindaje en los puntos de
unión del Shagohod es..."
0,891,[ITA],"L'armatura sulle sezioni di
collegamento dello Shagohod...."
0,891,[GER],Die Panzerung an den|Verbindungsteilen des Shagohod ...
0,891,[FRE],"Le blindage sur les parties de
connexion du Shagohod..."
0,891,[ENG],The armor on Shagohod's|connecting sections...
891,1239,[SPA],débil...
891,1239,[ITA],non è forte..
891,1239,[GER],ist schwach ...
891,1239,[FRE],il n'est pas solide...
891,1239,[ENG],...is weak...
