filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled,upscaler_version,upscaler_type,ctxr3_converted,non_upscaled_version
e01_1.bmp,6a96b6968bf730c3f6ddf53611922da97b473806,46ca9d1440922877db2757b63b978c0e29930740,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_us,true,true,3,remarci_4x,false,0
e01_2.bmp_f0b63fb0ea7e68f56e4e83a511bf37e1,325fbe6dd440ec6e013a7acba9aedd6c46249bb1,b383046b148394d6b280ba5bd22ce9ff7ada89b9,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_us,true,true,3,remarci_4x,false,0
e01_3.bmp_541acc1ad8a115247861fcf34368023d,e008fdb3df69b001fb3a600cf642342ac41a4da5,e38e6b80e7648fdbc2eff0c9db165236cc7e5d57,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_us,true,true,3,remarci_4x,false,0
e01_4.bmp_54f96d8a29ca80b1a3feabfd6ad0ce4b,474b830d26a2cef6f8708a842ade01e685d65d0b,c58d9321e7072965bfe43e458b299733f3879d59,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_us,true,true,3,remarci_4x,false,0
e02_1.bmp,55128b0b2a800c9ae94e7670da6255e903fd4198,99637a99c4b69e8bcff5f19574744d32d1a16119,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_us,true,true,3,remarci_4x,false,0
e02_2.bmp_75c18656e1070488b65f4ef3c5459c6a,d7befd1e778e3203207e706c134f81a7226118c2,7dadb2358fa857f544189002bbe8f4ce1254cdac,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_us,true,true,3,remarci_4x,false,0
e02_3.bmp_9f9413fdf4806383d89d42846a722a3f,b00946456739446d0ef94f77aa583194748114ef,b86e8ae8a974c0f44735b0758f5e2a021da32589,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_us,true,true,3,remarci_4x,false,0
e02_4.bmp_e98df2b1939851f47c8a6c28ea1d4cda,bd08e0eb4811259d0579d3577d3384ba2d2849cc,d6b69eb48649382ac99deed7653c8c6ca1c1fcbc,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_us,true,true,3,remarci_4x,false,0
e03_1.bmp,6a96b6968bf730c3f6ddf53611922da97b473806,46ca9d1440922877db2757b63b978c0e29930740,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_us,true,true,3,remarci_4x,false,0
e03_2.bmp_9dacb2c715572785a6dae28acd90e8b1,325fbe6dd440ec6e013a7acba9aedd6c46249bb1,65132c7eeb6d86c06766c007c3012a3422a198e3,true,Self Remade\Finalized\Posters\MC - Vanilla\ovr_us,true,true,3,remarci_4x,false,0
