filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled,upscaler_version,upscaler_type,ctxr3_converted,non_upscaled_version,npot_resized
0001a782,101305d83ae34a5ff6ccada6b5686d662da858c9,4e8107c32d7337f3029dcd7c4051c8a55d882167,true,ps2 textures\HAS ALPHA\same sha1,false,true,5,remarci_4x,false,0,false
0003a157.img,adf4d2339b011fe6339e2ae3e7ffaa949e25845a,c0266bfab4724fdccb74315318379e3194815eb8,true,mc textures\opaque\bp_remade,true,true,5,remarci_4x,false,0,false
0003a157.img_03f17ff9395846ea5bf936552c3b988a,5a342db832d83c15c865114ade8bc1201f01485a,a412041e72e1fbad2acdb287897ca930f9d96b4d,true,mc textures\opaque\bp_remade,true,true,5,remarci_4x,false,0,false
0003a157.img_072734442395aa77b4dc73a300e14635,48f77802fb106746586029aa585b8d67f1cc5d2c,f283b3386ac7f1484258b2a1fce4073b2e6b28cd,true,mc textures\opaque\bp_remade,true,true,5,remarci_4x,false,0,false
0003a157.img_079c21f87c2396e85d5f7c82637e7352,84b4d64bd339ffa27a7c8d9c122bfb4bb737b414,63b07bcd2540ef0929a585a76f2cccde09eade17,true,mc textures\opaque\bp_remade,true,true,5,remarci_4x,false,0,false
0003a157.img_185cf90c2eaa2eef3aeb870ec4834671,395aff946adc7c074e0433ed214e177e80e92d45,b4f23012d4064956aa03edcaa25dc3e9da87a702,true,mc textures\opaque\bp_remade,true,true,5,remarci_4x,false,0,false
0003a157.img_1ba470027dacd7c10adf661610dc04e1,07c5470d1350f6ed2fb878bb64941ad209bee248,6d8877092217b892fda13aa70dd5236ca6a1f7a1,true,mc textures\opaque\bp_remade,true,true,5,remarci_4x,false,0,false
0003a157.img_1ece3f27cf607206241327a91b57c89d,2416940312475be31b52ee1196c14587107c9bac,a807298a9806b1888aba23ee35079860ca3710b7,true,mc textures\opaque\bp_remade,true,true,5,remarci_4x,false,0,false
0003a157.img_2be35633bee586cebc75a438f0e6e4e2,e6d6a1963ea3542bd9c8c1ac7425b96d0d1d685f,5459a11fe01597a07a217ba5375500faf807d39b,true,mc textures\opaque\bp_remade,true,true,5,remarci_4x,false,0,false
0003a157.img_3175e6874d78a2e57eb432e68c004751,6b64838766f80050fc3f6992f51747d94430ce07,67131971140b0083bc94e20bdeee99105a4c661a,true,mc textures\opaque\bp_remade,true,true,5,remarci_4x,false,0,false
0003a157.img_335003ac512d622e8ff81548074823df,9ee839c695a36a192e92a0662421e1222481a0a3,25667c2470d843798a5184fe2e6d1c16ac18c86a,true,mc textures\opaque\bp_remade,true,true,5,remarci_4x,false,0,false
